userName,score,at,content
ammie azis,5,2025-12-10 11:06:56,sangat menyenangkan membeli token listrik di PLN mobile tapi sayang saya belum pernah dapet hadiah bulanan dan tahunan
BOBO GAMING,5,2025-12-10 11:06:36,semakin buaik
Wahyudin Wahy,5,2025-12-10 11:06:24,mudah cepat
Melkianus Adu ke,5,2025-12-10 11:05:54,"dengan adanya aplikasi ini, sangat membantu kami dalam melakukan tambadaya, pasang baru, dan pengaduan gangguan, dan gangguannya cepat teratasi, fitur fiturnya pun makin lengkap"
Nosiy Sukmawati,5,2025-12-10 11:05:42,sangat membantu
Raswan Kayana,5,2025-12-10 11:05:28,PLN mobile layanan cepat⚡
Muhammad Kosim,5,2025-12-10 11:05:27,PLN mobile lebih baik dan cepat
Bambang Heriyanto,5,2025-12-10 11:04:48,mantaappp
Kapas,5,2025-12-10 11:04:33,sangat membantu
Al-iji'itihad,5,2025-12-10 11:03:48,selalu nyaman menggunakan Aplikanya
fahri muhamad,5,2025-12-10 11:00:48,PROSES Transaksi pembayaran rekening lebih cepat
Anggara Fitrah Ramadhan R,5,2025-12-10 11:00:38,Sangat berguna n membantu banget
Hima Yati,5,2025-12-10 11:00:37,sukses buat pln
Deby Ardiansyah,5,2025-12-10 11:00:35,PLN mobil sangat memudahkan untuk pembelian token listrik
Mass Mbapeee,5,2025-12-10 11:00:32,terimakasih atas aplikasi ini sangat membantu
edi prianggawan,5,2025-12-10 10:59:11,Aplikasi yang sangat membantu
Suhadi Adi,5,2025-12-10 10:59:08,makin anyooy aja pake aplikasi pln mobile mah sgalanya jadi mudah jasaaa
Ai titin Sumiati,5,2025-12-10 10:58:56,pelayanan ulp rajapolah sangat baik cepat dan lugas.. terimakasih untuk pelayanan nya..
ahmad Abidin,5,2025-12-10 10:58:46,"PLN HEBAT PLN LUWARBIYA,,CEPAT TANGPA"
Thura saputra,5,2025-12-10 10:57:56,semoga semakin berembang apikasinya
Elen Baba,5,2025-12-10 10:56:48,App sangat membantu pelanggan untuk mendapat kan informasi tentang kelistrikan.
Bangkok bombai,5,2025-12-10 10:56:10,mantap aplikasinya
Rohman Tea,5,2025-12-10 10:56:00,sangat membantu dan lebih mudah
Rus Nadi,5,2025-12-10 10:55:19,sukses buat PLN menyala
Heriyanto Tuna,5,2025-12-10 10:55:00,aplikasi ini sangat membantu pelanggan
Sunandi Nandi,5,2025-12-10 10:54:49,PLN Mantap👍👍👍
sangga yudistira,5,2025-12-10 10:53:55,mantap
plnnd sumbawa,5,2025-12-10 10:52:13,Mantap. Fitur-fiturnya yang memudahkan pengelolaan listrik di rumah dan menyediakan berbagai layanan terpadu
Rian Andriansyah,5,2025-12-10 10:52:13,PLN MOBILE KEREN
Mia Rahmania,5,2025-12-10 10:51:49,"Terima kasih semenjak adanya PLN mobile ini, untuk masalah kelistrikan di rumah saya sangat sangat membantu.."
irda fiqri immawan,5,2025-12-10 10:50:14,"Terimakasih, dengan adanya aplikasi PLN Mobile sangat membantu, gk perlu lama lama antrian, cukup buka aplikasi masalah selsai"
Fendik Pia,5,2025-12-10 10:49:59,"Sangat bagus untuk mempermudah pengaduan listrik di wilayah masing "" 👍"
Fikkry Ahmad,5,2025-12-10 10:49:06,Mempermudah pembelian token
Santo Toro,5,2025-12-10 10:49:06,siip
